author,title,year,citations,country,field,publication
"Smith, J",Research on Coloniality Study 0,2016,123,USA,Social Sciences,Journal of Social Sciences 0
"Johnson, M",Research on Coloniality Study 1,2013,40,UK,Humanities,Journal of Humanities 1
"Garcia, L",Research on Coloniality Study 2,2022,14,Indonesia,Education,Journal of Education 2
"Lee, K",Research on Coloniality Study 3,2020,44,Netherlands,Political Science,Journal of Political Science 3
"Wang, Y",Research on Coloniality Study 4,2017,64,Brazil,Social Sciences,Journal of Social Sciences 4
"Smith, J",Research on Coloniality Study 5,2022,88,USA,Humanities,Journal of Humanities 0
"Johnson, M",Research on Coloniality Study 6,2014,70,UK,Education,Journal of Education 1
"Garcia, L",Research on Coloniality Study 7,2016,8,Indonesia,Political Science,Journal of Political Science 2
"Lee, K",Research on Coloniality Study 8,2019,87,Netherlands,Social Sciences,Journal of Social Sciences 3
"Wang, Y",Research on Coloniality Study 9,2012,128,Brazil,Humanities,Journal of Humanities 4
"Smith, J",Research on Coloniality Study 10,2016,135,USA,Education,Journal of Education 0
"Johnson, M",Research on Coloniality Study 11,2020,62,UK,Political Science,Journal of Political Science 1
"Garcia, L",Research on Coloniality Study 12,2020,138,Indonesia,Social Sciences,Journal of Social Sciences 2
"Lee, K",Research on Coloniality Study 13,2017,80,Netherlands,Humanities,Journal of Humanities 3
"Wang, Y",Research on Coloniality Study 14,2014,135,Brazil,Education,Journal of Education 4
"Smith, J",Research on Coloniality Study 15,2013,32,USA,Political Science,Journal of Political Science 0
"Johnson, M",Research on Coloniality Study 16,2017,122,UK,Social Sciences,Journal of Social Sciences 1
"Garcia, L",Research on Coloniality Study 17,2017,4,Indonesia,Humanities,Journal of Humanities 2
"Lee, K",Research on Coloniality Study 18,2012,40,Netherlands,Education,Journal of Education 3
"Wang, Y",Research on Coloniality Study 19,2015,27,Brazil,Political Science,Journal of Political Science 4
"Smith, J",Research on Coloniality Study 20,2014,134,USA,Social Sciences,Journal of Social Sciences 0
"Johnson, M",Research on Coloniality Study 21,2011,71,UK,Humanities,Journal of Humanities 1
"Garcia, L",Research on Coloniality Study 22,2017,11,Indonesia,Education,Journal of Education 2
"Lee, K",Research on Coloniality Study 23,2021,32,Netherlands,Political Science,Journal of Political Science 3
"Wang, Y",Research on Coloniality Study 24,2015,47,Brazil,Social Sciences,Journal of Social Sciences 4
"Smith, J",Research on Coloniality Study 25,2011,61,USA,Humanities,Journal of Humanities 0
"Johnson, M",Research on Coloniality Study 26,2021,36,UK,Education,Journal of Education 1
"Garcia, L",Research on Coloniality Study 27,2014,98,Indonesia,Political Science,Journal of Political Science 2
"Lee, K",Research on Coloniality Study 28,2010,103,Netherlands,Social Sciences,Journal of Social Sciences 3
"Wang, Y",Research on Coloniality Study 29,2021,34,Brazil,Humanities,Journal of Humanities 4
"Smith, J",Research on Coloniality Study 30,2019,100,USA,Education,Journal of Education 0
"Johnson, M",Research on Coloniality Study 31,2015,130,UK,Political Science,Journal of Political Science 1
"Garcia, L",Research on Coloniality Study 32,2022,0,Indonesia,Social Sciences,Journal of Social Sciences 2
"Lee, K",Research on Coloniality Study 33,2021,4,Netherlands,Humanities,Journal of Humanities 3
"Wang, Y",Research on Coloniality Study 34,2018,141,Brazil,Education,Journal of Education 4
"Smith, J",Research on Coloniality Study 35,2010,102,USA,Political Science,Journal of Political Science 0
"Johnson, M",Research on Coloniality Study 36,2020,26,UK,Social Sciences,Journal of Social Sciences 1
"Garcia, L",Research on Coloniality Study 37,2020,136,Indonesia,Humanities,Journal of Humanities 2
"Lee, K",Research on Coloniality Study 38,2019,14,Netherlands,Education,Journal of Education 3
"Wang, Y",Research on Coloniality Study 39,2021,89,Brazil,Political Science,Journal of Political Science 4
"Smith, J",Research on Coloniality Study 40,2021,41,USA,Social Sciences,Journal of Social Sciences 0
"Johnson, M",Research on Coloniality Study 41,2012,123,UK,Humanities,Journal of Humanities 1
"Garcia, L",Research on Coloniality Study 42,2021,62,Indonesia,Education,Journal of Education 2
"Lee, K",Research on Coloniality Study 43,2016,95,Netherlands,Political Science,Journal of Political Science 3
"Wang, Y",Research on Coloniality Study 44,2013,51,Brazil,Social Sciences,Journal of Social Sciences 4
"Smith, J",Research on Coloniality Study 45,2018,95,USA,Humanities,Journal of Humanities 0
"Johnson, M",Research on Coloniality Study 46,2012,131,UK,Education,Journal of Education 1
"Garcia, L",Research on Coloniality Study 47,2014,142,Indonesia,Political Science,Journal of Political Science 2
"Lee, K",Research on Coloniality Study 48,2012,28,Netherlands,Social Sciences,Journal of Social Sciences 3
"Wang, Y",Research on Coloniality Study 49,2016,35,Brazil,Humanities,Journal of Humanities 4
"Smith, J",Research on Coloniality Study 50,2014,12,USA,Education,Journal of Education 0
"Johnson, M",Research on Coloniality Study 51,2018,70,UK,Political Science,Journal of Political Science 1
"Garcia, L",Research on Coloniality Study 52,2016,85,Indonesia,Social Sciences,Journal of Social Sciences 2
"Lee, K",Research on Coloniality Study 53,2011,27,Netherlands,Humanities,Journal of Humanities 3
"Wang, Y",Research on Coloniality Study 54,2013,65,Brazil,Education,Journal of Education 4
"Smith, J",Research on Coloniality Study 55,2018,44,USA,Political Science,Journal of Political Science 0
"Johnson, M",Research on Coloniality Study 56,2021,61,UK,Social Sciences,Journal of Social Sciences 1
"Garcia, L",Research on Coloniality Study 57,2011,133,Indonesia,Humanities,Journal of Humanities 2
"Lee, K",Research on Coloniality Study 58,2019,27,Netherlands,Education,Journal of Education 3
"Wang, Y",Research on Coloniality Study 59,2018,27,Brazil,Political Science,Journal of Political Science 4
"Smith, J",Research on Coloniality Study 60,2019,107,USA,Social Sciences,Journal of Social Sciences 0
"Johnson, M",Research on Coloniality Study 61,2014,43,UK,Humanities,Journal of Humanities 1
"Garcia, L",Research on Coloniality Study 62,2011,83,Indonesia,Education,Journal of Education 2
"Lee, K",Research on Coloniality Study 63,2013,29,Netherlands,Political Science,Journal of Political Science 3
"Wang, Y",Research on Coloniality Study 64,2021,74,Brazil,Social Sciences,Journal of Social Sciences 4
"Smith, J",Research on Coloniality Study 65,2021,127,USA,Humanities,Journal of Humanities 0
"Johnson, M",Research on Coloniality Study 66,2016,91,UK,Education,Journal of Education 1
"Garcia, L",Research on Coloniality Study 67,2021,128,Indonesia,Political Science,Journal of Political Science 2
"Lee, K",Research on Coloniality Study 68,2022,120,Netherlands,Social Sciences,Journal of Social Sciences 3
"Wang, Y",Research on Coloniality Study 69,2017,26,Brazil,Humanities,Journal of Humanities 4
"Smith, J",Research on Coloniality Study 70,2012,120,USA,Education,Journal of Education 0
"Johnson, M",Research on Coloniality Study 71,2010,115,UK,Political Science,Journal of Political Science 1
"Garcia, L",Research on Coloniality Study 72,2013,2,Indonesia,Social Sciences,Journal of Social Sciences 2
"Lee, K",Research on Coloniality Study 73,2011,102,Netherlands,Humanities,Journal of Humanities 3
"Wang, Y",Research on Coloniality Study 74,2017,136,Brazil,Education,Journal of Education 4
"Smith, J",Research on Coloniality Study 75,2013,61,USA,Political Science,Journal of Political Science 0
"Johnson, M",Research on Coloniality Study 76,2011,50,UK,Social Sciences,Journal of Social Sciences 1
"Garcia, L",Research on Coloniality Study 77,2015,58,Indonesia,Humanities,Journal of Humanities 2
"Lee, K",Research on Coloniality Study 78,2015,117,Netherlands,Education,Journal of Education 3
"Wang, Y",Research on Coloniality Study 79,2019,95,Brazil,Political Science,Journal of Political Science 4
"Smith, J",Research on Coloniality Study 80,2013,112,USA,Social Sciences,Journal of Social Sciences 0
"Johnson, M",Research on Coloniality Study 81,2015,61,UK,Humanities,Journal of Humanities 1
"Garcia, L",Research on Coloniality Study 82,2022,51,Indonesia,Education,Journal of Education 2
"Lee, K",Research on Coloniality Study 83,2011,11,Netherlands,Political Science,Journal of Political Science 3
"Wang, Y",Research on Coloniality Study 84,2019,38,Brazil,Social Sciences,Journal of Social Sciences 4
"Smith, J",Research on Coloniality Study 85,2021,129,USA,Humanities,Journal of Humanities 0
"Johnson, M",Research on Coloniality Study 86,2011,130,UK,Education,Journal of Education 1
"Garcia, L",Research on Coloniality Study 87,2019,112,Indonesia,Political Science,Journal of Political Science 2
"Lee, K",Research on Coloniality Study 88,2013,100,Netherlands,Social Sciences,Journal of Social Sciences 3
"Wang, Y",Research on Coloniality Study 89,2017,112,Brazil,Humanities,Journal of Humanities 4
"Smith, J",Research on Coloniality Study 90,2016,80,USA,Education,Journal of Education 0
"Johnson, M",Research on Coloniality Study 91,2021,112,UK,Political Science,Journal of Political Science 1
"Garcia, L",Research on Coloniality Study 92,2018,1,Indonesia,Social Sciences,Journal of Social Sciences 2
"Lee, K",Research on Coloniality Study 93,2017,129,Netherlands,Humanities,Journal of Humanities 3
"Wang, Y",Research on Coloniality Study 94,2014,53,Brazil,Education,Journal of Education 4
"Smith, J",Research on Coloniality Study 95,2022,86,USA,Political Science,Journal of Political Science 0
"Johnson, M",Research on Coloniality Study 96,2011,128,UK,Social Sciences,Journal of Social Sciences 1
"Garcia, L",Research on Coloniality Study 97,2014,146,Indonesia,Humanities,Journal of Humanities 2
"Lee, K",Research on Coloniality Study 98,2017,125,Netherlands,Education,Journal of Education 3
"Wang, Y",Research on Coloniality Study 99,2019,129,Brazil,Political Science,Journal of Political Science 4
